ID_SERIE;TIPO_PROVA;DISCIPLINA;ID_SERIE_ITEM;ID_BLOCO;ID_POSICAO;ID_ITEM;ID_DESCRITOR_HABILIDADE;GABARITO
3;Prova Regular;MT;9;5;7;109873;D2;D
3;Prova Regular;MT;9;5;8;109872;D29;A
3;Prova Regular;MT;9;5;9;109513;D12;A
3;Prova Regular;MT;3;5;10;110714;D23;B
3;Prova Regular;MT;3;5;11;102924;D33;B
3;Prova Regular;MT;3;5;12;22317;D2;D
3;Prova Regular;MT;3;5;13;110713;D31;B
3;Prova Regular;MT;3;6;1;110632;D34;C
3;Prova Regular;MT;3;6;2;68900;D16;D
3;Prova Regular;MT;3;6;3;110929;D9;D
3;Prova Regular;MT;3;6;4;45522;D20;C
3;Prova Regular;MT;3;6;5;70496;D14;A
3;Prova Regular;MT;3;6;6;28860;D23;B
3;Prova Regular;MT;9;6;7;46114;D22;A
3;Prova Regular;MT;9;6;8;110516;D5;C
3;Prova Regular;MT;9;6;9;67305;D13;B
3;Prova Regular;MT;3;6;10;109431;D17;A
3;Prova Regular;MT;3;6;11;103149;D33;C
3;Prova Regular;MT;3;6;12;110378;D7;E
3;Prova Regular;MT;3;6;13;109959;D13;B
3;Prova Regular;MT;3;7;1;112332;D6;A
3;Prova Regular;MT;3;7;2;111352;D12;D
3;Prova Regular;MT;3;7;3;110822;D19;B
3;Prova Regular;MT;3;7;4;69766;D3;A
3;Prova Regular;MT;3;7;5;69169;D20;A
3;Prova Regular;MT;3;7;6;65885;D18;B
3;Prova Regular;MT;9;7;7;66364;D16;C
3;Prova Regular;MT;9;7;8;110466;D36;B
3;Prova Regular;MT;9;7;9;103238;D10;B
3;Prova Regular;MT;3;7;10;111039;D15;B
3;Prova Regular;MT;3;7;11;47129;D11;D
3;Prova Regular;MT;3;7;12;110955;D27;D
3;Prova Regular;MT;3;7;13;102866;D8;E
5;Macrotipo;LP;5;1;1;34693;D14;D
5;Macrotipo;LP;5;1;2;34080;D11;D
5;Macrotipo;LP;5;1;3;20031;D9;A
5;Macrotipo;LP;5;1;4;46160;D4;C
5;Macrotipo;LP;5;1;5;95391;D12;C
5;Macrotipo;LP;5;1;6;95064;D6;D
5;Macrotipo;LP;5;1;7;96143;D8;B
5;Macrotipo;LP;5;1;8;20208;D6;B
5;Macrotipo;LP;5;1;9;68987;D4;A
5;Macrotipo;LP;5;1;10;34859;D2;B
5;Macrotipo;LP;5;1;11;95151;D8;C
5;Macrotipo;LP;5;2;1;34311;D14;D
5;Macrotipo;LP;5;2;2;33913;D1;D
5;Macrotipo;LP;5;2;3;95145;D3;B
5;Macrotipo;LP;5;2;4;95006;D8;A
5;Macrotipo;LP;5;2;5;96097;D13;D
5;Macrotipo;LP;5;2;6;95393;D12;D
5;Macrotipo;LP;5;2;7;96170;D4;D
5;Macrotipo;LP;5;2;8;95033;D6;C
5;Macrotipo;LP;5;2;9;95037;D8;C
5;Macrotipo;LP;5;2;10;34677;D2;D
5;Macrotipo;LP;5;2;11;34703;D12;C
5;Prova Regular;LP;5;1;1;95359;D14;B
5;Prova Regular;LP;5;1;2;34080;D11;D
5;Prova Regular;LP;5;1;3;20031;D9;A
5;Prova Regular;LP;5;1;4;46160;D4;C
5;Prova Regular;LP;5;1;5;95391;D12;C
5;Prova Regular;LP;5;1;6;95064;D6;D
5;Prova Regular;LP;5;1;7;96143;D8;B
5;Prova Regular;LP;5;1;8;20208;D6;B
5;Prova Regular;LP;5;1;9;68987;D4;A
5;Prova Regular;LP;5;1;10;34859;D2;B
5;Prova Regular;LP;5;1;11;95151;D8;C
5;Prova Regular;LP;5;2;1;34693;D14;D
5;Prova Regular;LP;5;2;2;34021;D12;B
5;Prova Regular;LP;5;2;3;66158;D10;C
5;Prova Regular;LP;5;2;4;95371;D5;A
5;Prova Regular;LP;5;2;5;95916;D11;A
5;Prova Regular;LP;5;2;6;94967;D13;A
5;Prova Regular;LP;5;2;7;95158;D8;C
5;Prova Regular;LP;5;2;8;20546;D6;A
5;Prova Regular;LP;5;2;9;95364;D4;B
5;Prova Regular;LP;5;2;10;33945;D2;B
5;Prova Regular;LP;5;2;11;95015;D1;A
5;Prova Regular;LP;5;3;1;34311;D14;D
5;Prova Regular;LP;5;3;2;33913;D1;D
5;Prova Regular;LP;5;3;3;95145;D3;B
5;Prova Regular;LP;5;3;4;95006;D8;A
5;Prova Regular;LP;5;3;5;96097;D13;D
5;Prova Regular;LP;5;3;6;95393;D12;D
5;Prova Regular;LP;5;3;7;96170;D4;D
5;Prova Regular;LP;5;3;8;95033;D6;C
5;Prova Regular;LP;5;3;9;95037;D8;C
5;Prova Regular;LP;5;3;10;34677;D2;D
5;Prova Regular;LP;5;3;11;34703;D12;C
5;Prova Regular;LP;5;4;1;19925;D3;A
5;Prova Regular;LP;5;4;2;96079;D13;C
5;Prova Regular;LP;5;4;3;95406;D12;C
5;Prova Regular;LP;5;4;4;96112;D5;B
5;Prova Regular;LP;5;4;5;95108;D9;D
5;Prova Regular;LP;5;4;6;96138;D14;D
5;Prova Regular;LP;5;4;7;34696;D10;D
5;Prova Regular;LP;5;4;8;95012;D8;A
5;Prova Regular;LP;5;4;9;94879;D1;C
5;Prova Regular;LP;5;4;10;95039;D6;A
5;Prova Regular;LP;5;4;11;34481;D5;C
5;Prova Regular;LP;5;5;1;34849;D15;D
5;Prova Regular;LP;5;5;2;96076;D13;B
5;Prova Regular;LP;5;5;3;96106;D11;B
5;Prova Regular;LP;5;5;4;95244;D15;D
5;Prova Regular;LP;5;5;5;95985;D8;B
5;Prova Regular;LP;5;5;6;95000;D2;D
5;Prova Regular;LP;5;5;7;95482;D9;A
5;Prova Regular;LP;5;5;8;95054;D7;D
5;Prova Regular;LP;5;5;9;95998;D5;C
5;Prova Regular;LP;5;5;10;46217;D3;B
5;Prova Regular;LP;5;5;11;94878;D1;A
5;Prova Regular;LP;5;6;1;34509;D15;B
5;Prova Regular;LP;5;6;2;95075;D13;A
5;Prova Regular;LP;5;6;3;33988;D11;D
5;Prova Regular;LP;5;6;4;95070;D11;A
5;Prova Regular;LP;5;6;5;94883;D4;D
5;Prova Regular;LP;5;6;6;95310;D14;C
5;Prova Regular;LP;5;6;7;96162;D5;B
5;Prova Regular;LP;5;6;8;95387;D9;D
5;Prova Regular;LP;5;6;9;20018;D7;A
5;Prova Regular;LP;5;6;10;34847;D3;C
5;Prova Regular;LP;5;6;11;95335;D1;D
5;Prova Regular;LP;5;7;1;20368;D13;A
5;Prova Regular;LP;5;7;2;94973;D11;B
5;Prova Regular;LP;5;7;3;34110;D7;B
5;Prova Regular;LP;5;7;4;94979;D9;A
5;Prova Regular;LP;5;7;5;65913;D3;B
5;Prova Regular;LP;5;7;6;95989;D9;C
5;Prova Regular;LP;5;7;7;34073;D9;A
5;Prova Regular;LP;5;7;8;34475;D5;B
